Cluster Name,Review ID,Issue,date,hover_text
Durability Issues,0,Die geklebte Folie löst sich ab,2024-05-25,Die geklebte Folie löst sich ab (25.05.24)
Durability Issues,2,Es war nach wenigen Minuten kaputt,2024-05-05,Es war nach wenigen Minuten kaputt (05.05.24)
Durability Issues,4,am nächsten Tag schon gerissen,2024-04-10,am nächsten Tag schon gerissen (10.04.24)
Durability Issues,8,nicht stabil,2024-03-21,nicht stabil (21.03.24)
Durability Issues,8,ziemlich schnell hinüber,2024-03-21,ziemlich schnell hinüber (21.03.24)
Durability Issues,10,nur eine leere Packung erhalten,2024-02-17,nur eine leere Packung erhalten (17.02.24)
Durability Issues,10,nichts drin außer das Handbuch und die Verpackung,2024-02-17,nichts drin außer das Handbuch und die Verpackung (17.02.24)
Durability Issues,11,Die Folie auf dem Würfel ist nach zwei Monaten gerissen,2024-02-10,Die Folie auf dem Würfel ist nach zwei Monaten gerissen (10.02.24)
Durability Issues,14,Folie löst sich nach einem Monat,2024-01-22,Folie löst sich nach einem Monat (22.01.24)
Durability Issues,14,Folie komplett abgerissen nach mehreren Wochen,2024-01-22,Folie komplett abgerissen nach mehreren Wochen (22.01.24)
Durability Issues,14,Würfel unbrauchbar,2024-01-22,Würfel unbrauchbar (22.01.24)
Durability Issues,16,Folie geht auseinander,2024-01-19,Folie geht auseinander (19.01.24)
Durability Issues,16,Teile halten nur mit Folie zusammen,2024-01-19,Teile halten nur mit Folie zusammen (19.01.24)
Durability Issues,21,Verbindung brach schnell nach,2024-01-02,Verbindung brach schnell nach (02.01.24)
Durability Issues,21,nur noch äußerst vorsichtig genutzt werden kann,2024-01-02,nur noch äußerst vorsichtig genutzt werden kann (02.01.24)
Durability Issues,23,Würfel verreist noch nicht mal einer Woche kaputt,2023-12-30,Würfel verreist noch nicht mal einer Woche kaputt (30.12.23)
Durability Issues,25,Folie geht nach 1 Tag ab,2023-12-25,Folie geht nach 1 Tag ab (25.12.23)
Durability Issues,28,Broken after not a day use,2023-12-23,Broken after not a day use (23.12.23)
Price Issues,1,Dauerhaltbarkeit könnte deutlich besser sein,2024-05-19,Dauerhaltbarkeit könnte deutlich besser sein (19.05.24)
Price Issues,5,Angebotspreis von 20€ ist eine Frechheit,2024-04-04,Angebotspreis von 20€ ist eine Frechheit (04.04.24)
Price Issues,5,Preis ist eindeutig zu hoch,2024-04-04,Preis ist eindeutig zu hoch (04.04.24)
Price Issues,5,Für den hohen Preis habe ich deutlich mehr erwartet,2024-04-04,Für den hohen Preis habe ich deutlich mehr erwartet (04.04.24)
Price Issues,6,"Preis von um die 25 Euro aufzurufen, ist fast schon unverschämt",2024-03-25,"Preis von um die 25 Euro aufzurufen, ist fast schon unverschämt (25.03.24)"
Price Issues,7,viel zu teuer,2024-03-21,viel zu teuer (21.03.24)
Price Issues,11,Dafür ist er zu teuer,2024-02-10,Dafür ist er zu teuer (10.02.24)
Price Issues,12,viel zu teuer verkauft,2024-01-28,viel zu teuer verkauft (28.01.24)
Price Issues,13,zu teuer,2024-01-25,zu teuer (25.01.24)
Price Issues,14,Preis zu hoch für überzogenen Kunststoff,2024-01-22,Preis zu hoch für überzogenen Kunststoff (22.01.24)
Price Issues,15,Preis von 25 € scheint mir etwas überteuert,2024-01-21,Preis von 25 € scheint mir etwas überteuert (21.01.24)
Price Issues,16,Preis zu hoch,2024-01-19,Preis zu hoch (19.01.24)
Price Issues,17,für den Preis ein wenig simpel,2024-01-17,für den Preis ein wenig simpel (17.01.24)
Price Issues,19,Ist das Geld nicht wert,2024-01-06,Ist das Geld nicht wert (06.01.24)
Price Issues,20,Extrem überteuert,2024-01-04,Extrem überteuert (04.01.24)
Price Issues,24,zu teuer,2023-12-27,zu teuer (27.12.23)
Price Issues,29,"Für diesen Würfel 25,00 EURO zu verlangen ist zu viel.",2023-12-18,"Für diesen Würfel 25,00 EURO zu verlangen ist zu viel. (18.12.23)"
Size Issues,7,zu klein,2024-03-21,zu klein (21.03.24)
Size Issues,9,Das Ding ist kleiner als es dargestellt wird.,2024-03-06,Das Ding ist kleiner als es dargestellt wird. (06.03.24)
Size Issues,17,kleiner als erwartet,2024-01-17,kleiner als erwartet (17.01.24)
Size Issues,18,Sehr klein,2024-01-10,Sehr klein (10.01.24)
Quality Issues,3,nicht robust genug für eine 8-jährige,2024-04-15,nicht robust genug für eine 8-jährige (15.04.24)
Quality Issues,6,"hergestellt aus einer Art Pappdeckel, der so filigran wirkt, als wenn gleich alles auseinander reisst",2024-03-25,"hergestellt aus einer Art Pappdeckel, der so filigran wirkt, als wenn gleich alles auseinander reisst (25.03.24)"
Quality Issues,6,"Man muss beim ersten mal aufklappen schon aufpassen, dass man das Ding nicht gleich kaputt macht",2024-03-25,"Man muss beim ersten mal aufklappen schon aufpassen, dass man das Ding nicht gleich kaputt macht (25.03.24)"
Quality Issues,8,nicht stabil,2024-03-21,nicht stabil (21.03.24)
Quality Issues,19,einfachem Plastik,2024-01-06,einfachem Plastik (06.01.24)
Quality Issues,21,bessere Qualität erwartet,2024-01-02,bessere Qualität erwartet (02.01.24)
Quality Issues,26,Ist ein bisschen ipsig,2023-12-25,Ist ein bisschen ipsig (25.12.23)
Usability Issues,13,nach 5 Minuten gelangweilt,2024-01-25,nach 5 Minuten gelangweilt (25.01.24)
Usability Issues,13,nichtmal aufbekommen,2024-01-25,nichtmal aufbekommen (25.01.24)
Usability Issues,13,mit Gewalt öffnen und kaputt machen,2024-01-25,mit Gewalt öffnen und kaputt machen (25.01.24)
Usability Issues,13,nur aus Pappe,2024-01-25,nur aus Pappe (25.01.24)
Usability Issues,20,Es gibt nur eine Lösung und ein paar triviale andere Figuren,2024-01-04,Es gibt nur eine Lösung und ein paar triviale andere Figuren (04.01.24)
Usability Issues,20,Nach 5 min hat man alles durch,2024-01-04,Nach 5 min hat man alles durch (04.01.24)
Usability Issues,20,Kein vergleich mit Rubix,2024-01-04,Kein vergleich mit Rubix (04.01.24)
Usability Issues,20,Bin mega frustriert,2024-01-04,Bin mega frustriert (04.01.24)
Usability Issues,22,schwer ist nicht für 7 jährige,2024-01-01,schwer ist nicht für 7 jährige (01.01.24)
Usability Issues,27,sehe da keinen „Spielwert“,2023-12-23,sehe da keinen „Spielwert“ (23.12.23)
